,0
0,16296
1,175
2,1336
3,7
4,0
5,10294
6,163
7,1155
8,210
9,657
10,8157
11,174
12,1536
13,199
14,0
15,10036
16,171
17,1076
18,168
19,0
20,11273
21,1
22,1416
23,155
24,0
25,10936
26,168
27,808
28,152
29,0
30,11035
31,179
32,1594
33,7
34,0
35,10839
36,147
37,1101
38,173
39,0
40,10622
41,170
42,1500
43,186
44,0
45,10658
46,144
47,1120
48,159
49,0
50,11132
51,1
52,1329
53,149
54,0
55,10767
56,165
57,846
58,155
59,167
60,431
61,10
62,100
63,10
64,0
65,384
66,11
67,94
68,9
69,48
70,358
71,11
72,93
73,11
74,0
75,392
76,11
77,94
78,10
79,0
80,419
81,10
82,96
83,11
84,0
85,406
86,11
87,92
88,10
89,0
90,363
91,10
92,112
93,9
94,0
95,367
96,11
97,97
98,10
99,0
100,359
101,12
102,87
103,10
104,0
105,358
106,11
107,95
108,9
109,0
110,381
111,10
112,91
113,10
114,0
115,385
116,11
117,93
118,10
119,92200
120,142078
121,1127
122,19965
123,1016
124,0
125,129400
126,1124
127,19813
128,1016
129,11356
130,127993
131,1124
132,19841
133,1013
134,0
135,127815
136,1125
137,19789
138,1013
139,0
140,130192
141,3442
142,19954
143,1016
144,0
145,128547
146,1128
147,19850
148,1013
149,0
150,124616
151,1125
152,19877
153,1016
154,0
155,128071
156,1128
157,20833
158,1016
159,0
160,129039
161,1170
162,19846
163,1016
164,0
165,128066
166,1128
167,19793
168,1016
169,0
170,124686
171,1128
172,19796
173,1016
174,0
175,129126
176,1128
177,19836
178,1016
179,2722
180,5340
181,114
182,996
183,1
184,0
185,3520
186,106
187,993
188,113
189,621
190,3504
191,112
192,1008
193,110
194,0
195,3712
196,111
197,973
198,106
199,0
200,3651
201,1
202,950
203,104
204,0
205,3588
206,94
207,768
208,91
209,0
210,3568
211,105
212,1005
213,1
214,0
215,3610
216,97
217,969
218,101
219,0
220,3384
221,106
222,997
223,98
224,0
225,3680
226,94
227,995
228,99
229,0
230,3638
231,1
232,838
233,96
234,0
235,3585
236,96
237,778
238,97
