,0
0,-1.3025
1,-1.3252
2,-1.3309
3,-1.3365
4,-1.3422
5,-1.3479
6,-1.3195
7,-1.3309
8,-1.3932
9,-1.3649
10,-1.3876
11,-1.3592
12,-1.3932
13,-1.4216
14,-1.3989
15,-1.3989
16,-1.3932
17,-1.3479
18,-1.2855
19,-1.2571
20,-1.2288
21,-1.2344
22,-1.2458
23,-1.2458
24,-1.2968
25,-1.2912
26,-1.3025
27,-1.3138
28,-1.3309
29,-1.3138
30,-1.3479
31,-1.3422
32,-1.3989
33,-1.3422
34,-1.3592
35,-1.3592
36,-1.2741
37,-1.2288
38,-1.2628
39,-1.2231
40,-1.1834
41,-1.138
42,-1.1834
43,-1.1437
44,-1.0643
45,-1.0586
46,-1.0473
47,-1.0416
48,-0.96222
49,-0.8998299999999999
50,-0.8431200000000001
51,-0.8261
52,-0.78073
53,-0.71835
54,-0.68999
55,-0.63895
56,-0.59358
57,-0.57089
58,-0.59925
59,-0.60492
60,-0.5425399999999999
61,-0.62761
62,-0.59925
63,-0.56522
64,-0.58224
65,-0.66164
66,-0.60492
67,-0.64462
68,-0.65596
69,-0.6673100000000001
70,-0.67865
71,-0.70133
72,-0.68999
73,-0.76372
74,-0.7864
75,-0.7864
76,-0.76372
77,-0.80909
78,-0.8261
79,-0.83745
80,-0.85446
81,-0.9055
82,-0.97923
83,-0.9452
84,-0.79775
85,-0.61059
86,-0.57089
87,-0.5311899999999999
88,-0.48582
89,-0.47448
90,-0.34404
91,-0.26464
92,-0.28733000000000003
93,-0.12286
94,-0.043461
95,0.024595
96,0.058623
97,0.21175
98,0.29682
99,0.34219
100,0.38189
101,0.4783
102,0.53501
103,0.5633699999999999
104,0.5463600000000001
105,0.53501
106,0.518
107,0.5974
108,0.60874
109,0.58606
110,0.53501
111,0.53501
112,0.64277
113,0.64844
114,0.77888
115,0.62008
116,0.66545
117,0.71082
118,0.7562
119,0.78455
120,0.93768
121,1.1248
122,1.1986
123,1.2723
124,1.3630000000000002
125,1.3517
126,1.346
127,1.2609
128,1.2496
129,1.2383
130,1.2326
131,1.2269
132,1.1815
133,1.1589
134,1.1362
135,1.1815
136,1.1702
137,1.1192
138,1.2383
139,1.2326
140,1.2212
141,1.2042
142,1.1929
143,1.1872
144,1.1929
145,1.1872
146,1.0738
147,1.0284
148,1.0001
149,0.96603
150,0.93768
151,0.8809600000000001
152,0.79022
153,0.68247
154,0.48964
155,0.32517
156,0.20608
157,0.13235
158,-0.049133
159,-0.10017
160,-0.16823
161,-0.24196
162,-0.31568
163,-0.38941
164,-0.52552
165,-0.59358
166,-0.57657
167,-0.74103
168,-0.8204299999999999
169,-0.92819
170,-1.0019
171,-1.0246
172,-1.1437
173,-1.1777
174,-1.2231
175,-1.2741
176,-1.3195
177,-1.3592
178,-1.4159
179,-1.4896
180,-1.535
181,-1.5974
182,-1.6087
183,-1.6144
184,-1.6201
185,-1.6655
186,-1.6938
187,-1.6881
188,-1.6995
189,-1.6711
190,-1.6768
191,-1.6825
192,-1.6881
193,-1.6655
194,-1.6258
195,-1.5747
196,-1.5861
197,-1.6201
198,-1.5464
199,-1.5577
200,-1.5237
201,-1.518
202,-1.5067
203,-1.501
204,-1.4556
205,-1.484
206,-1.4329
207,-1.3819
208,-1.3309
209,-1.2968
210,-1.2798
211,-1.2515
212,-1.1891
213,-1.2458
214,-1.1664
215,-1.1324
216,-1.0586
217,-0.99057
218,-0.99624
219,-0.88282
220,-0.8714700000000001
221,-0.8431200000000001
222,-0.7864
223,-0.76372
224,-0.7750600000000001
225,-0.7864
226,-0.79775
227,-0.80909
228,-0.8204299999999999
229,-0.8317700000000001
230,-0.8431200000000001
231,-0.88282
232,-0.8658
233,-0.88282
234,-0.93953
235,-0.96789
236,-0.97923
237,-0.9849
238,-0.99624
239,-1.0133
240,-0.99624
241,-0.95087
242,-0.96222
243,-0.92252
244,-0.8998299999999999
245,-0.8714700000000001
246,-0.8431200000000001
247,-0.79208
248,-0.79775
249,-0.72402
250,-0.71835
251,-0.74103
252,-0.70701
253,-0.65596
254,-0.67865
255,-0.66164
256,-0.63895
257,-0.6219399999999999
258,-0.61059
259,-0.66164
260,-0.6843199999999999
261,-0.73536
262,-0.70701
263,-0.6956600000000001
264,-0.67865
265,-0.65596
266,-0.6332800000000001
267,-0.59925
268,-0.50851
269,-0.45747
270,-0.29867
271,-0.20226
272,-0.15122
273,-0.032119
274,0.04728
275,0.10399
276,0.16071
277,0.25145
278,0.26279
279,0.38756
280,0.39323
281,0.43293
282,0.46696
283,0.5009899999999999
284,0.59173
285,0.65978
286,0.72217
287,0.73351
288,0.8469399999999999
289,0.86395
290,0.88664
291,0.97738
292,0.99439
293,0.98872
294,1.1078
295,1.2212
296,1.2836
297,1.4424
298,1.3914
299,1.4197
300,1.4481
301,1.4765
302,1.3914
303,1.3971
304,1.3744
305,1.3574
306,1.3517
307,1.3744
308,1.3403
309,1.3006
310,1.2666
311,1.2326
312,1.1929
313,1.1589
314,1.1418
315,1.1475
316,1.1305
317,1.1078
318,1.1021
319,1.0851
320,1.0114
321,0.93201
322,0.90932
323,0.81858
324,0.80157
325,0.76754
326,0.7165
327,0.7278399999999999
328,0.59173
329,0.5633699999999999
330,0.53501
331,0.50666
332,0.47263
333,0.49531
334,0.47263
335,0.4386
336,0.41592
337,0.44427
338,0.45562
339,0.44427
340,0.42726
341,0.41592
342,0.34219
343,0.2798
344,0.31383
345,0.26279
346,0.28548
347,0.31383
348,0.33652
349,0.38756
350,0.43293
351,0.45562
352,0.44994
353,0.34786
354,0.32517
355,0.26846
356,0.21742
357,0.18906
358,0.064294
359,0.018923
360,-0.066147
361,-0.23061
362,-0.27031
363,-0.31568
364,-0.42344
365,-0.33837
366,-0.38941
367,-0.38374
368,-0.39508
369,-0.4121
370,-0.43478
371,-0.4518
372,-0.47448
373,-0.4915
374,-0.50851
375,-0.5311899999999999
376,-0.5482100000000001
377,-0.57089
378,-0.58791
379,-0.5311899999999999
380,-0.55955
381,-0.59925
382,-0.61626
383,-0.6332800000000001
384,-0.65596
385,-0.73536
386,-0.73536
387,-0.79775
388,-0.72969
389,-0.67298
390,-0.6673100000000001
391,-0.59358
392,-0.4688100000000001
393,-0.48582
394,-0.48582
395,-0.48015
396,-0.48015
397,-0.53687
398,-0.56522
399,-0.62761
400,-0.65596
401,-0.66164
402,-0.66164
403,-0.66164
404,-0.6673100000000001
405,-0.6219399999999999
406,-0.6219399999999999
407,-0.51418
408,-0.49717
409,-0.50284
410,-0.4688100000000001
411,-0.43478
412,-0.39508
413,-0.3327
414,-0.31001
415,-0.27031
416,-0.20226
417,-0.2136
418,-0.15122
419,-0.15122
420,-0.15689
421,-0.16255999999999998
422,-0.077489
423,-0.094503
424,-0.11719
425,-0.094503
426,-0.10585
427,-0.0094333
428,0.030266
429,0.081308
430,0.13235
431,0.18339
432,0.2401
433,0.2798
434,0.38189
435,0.41592
436,0.42159
437,0.44994
438,0.4783
439,0.50666
440,0.45562
441,0.46129
442,0.41024
443,0.4386
444,0.46696
445,0.49531
446,0.5293399999999999
447,0.5577
448,0.58606
449,0.61441
450,0.64277
451,0.67113
452,0.78455
453,0.81291
454,1.0795
455,1.0908
456,1.1248
457,1.1589
458,1.1929
459,1.1702
460,1.1929
461,1.1759
462,1.3006
463,1.3403
464,1.5048
465,1.5048
466,1.5445
467,1.5785
468,1.6182
469,1.7033
470,1.7203
471,1.777
472,1.8791
473,1.9075
474,1.8905
475,1.9075
476,1.9188
477,1.9358
478,1.9131
479,1.9018
480,1.8734
481,1.8508
482,1.8394
483,1.8337
484,1.8224
485,1.8054
486,1.8167
487,1.7714
488,1.7543
489,1.7317
490,1.709
491,1.6579
492,1.6466
493,1.6069
494,1.5388
495,1.5218
496,1.4878
497,1.4538
498,1.4197
499,1.3744
500,1.3063
501,1.1986
502,1.1418
503,1.1078
504,1.0171
505,0.96603
506,0.80157
507,0.77888
508,0.68247
509,0.58038
510,0.46129
511,0.32517
512,0.23443000000000006
513,0.21175
514,0.18339
515,0.15504
516,0.13235
517,0.10399
518,0.081308
519,0.052951
520,0.013252000000000002
521,0.0075807
522,-0.003762
523,-0.0094333
524,-0.0094333
525,-0.094503
526,-0.11719
527,-0.16823
528,-0.26464
529,-0.32703000000000004
530,-0.39508
531,-0.50284
532,-0.4121
533,-0.4291100000000001
534,-0.4518
535,-0.47448
536,-0.48015
537,-0.41777
538,-0.34971
539,-0.30434
540,-0.26464
541,-0.23061
542,-0.19659
543,-0.17957
544,-0.17957
545,-0.10585
546,-0.043461
547,0.030266
548,0.075637
549,0.12101
550,0.16071
551,0.36487
552,0.47263
553,0.6371
554,0.80724
555,0.8696200000000001
556,0.90932
557,0.92633
558,0.93768
559,0.95469
560,1.0341
561,1.1929
562,1.3177
563,1.3574
564,1.4481
565,1.5615
566,1.6579
567,1.726
568,1.76
569,1.709
570,1.6749
571,1.692
572,1.5615
573,1.4821
574,1.4481
575,1.4197
576,1.3914
577,1.3403
578,1.3574
579,1.3687
580,1.38
581,1.3914
582,1.4765
583,1.6069
584,1.6806
585,1.6749
586,1.6579
587,1.6523
588,1.6863
589,1.7033
590,1.7657
591,1.8224
592,1.8848
593,1.9075
594,1.9528
595,1.9358
596,1.9585
597,1.9812
598,1.9982
599,1.9925
600,1.9585
601,1.9528
602,1.9188
603,1.8961
604,1.8564
605,1.8111
606,1.7714
607,1.6636
608,1.6126
609,1.5672
610,1.4765
611,1.3233
612,1.2383
613,1.1475
614,0.96603
615,0.92066
616,0.69381
617,0.61441
618,0.48397
619,0.4386
620,0.37622
621,0.31383
622,0.24578000000000005
623,0.18339
624,0.075637
625,-0.026447
626,-0.1739
627,-0.23061
628,-0.40075
629,-0.4688100000000001
630,-0.51418
631,-0.55955
632,-0.60492
633,-0.79208
634,-0.79208
635,-0.7864
636,-0.8658
637,-0.88849
638,-0.9452
639,-0.97356
640,-1.0076
641,-1.0359
642,-1.053
643,-1.138
644,-1.2061
645,-1.2741
646,-1.2231
647,-1.1721
648,-1.0983
649,-1.0643
650,-1.0359
651,-1.0473
652,-1.0813
653,-1.0983
654,-1.07
655,-1.0586
656,-1.0473
657,-1.0359
658,-1.0246
659,-1.0133
660,-1.0019
661,-0.96222
662,-0.95654
663,-0.96222
664,-0.9452
665,-0.96789
666,-0.95087
667,-0.93386
668,-0.92819
669,-0.93953
670,-0.95087
671,-0.95654
672,-0.9452
673,-0.93953
674,-0.93953
675,-0.9055
676,-0.87715
677,-0.87715
678,-0.88282
679,-0.8714700000000001
680,-0.88849
681,-0.8714700000000001
682,-0.8714700000000001
683,-0.8658
684,-0.86013
685,-0.86013
686,-0.8714700000000001
687,-0.8431200000000001
688,-0.8431200000000001
689,-0.83745
690,-0.83745
691,-0.83745
692,-0.8317700000000001
693,-0.8317700000000001
694,-0.8487899999999999
695,-0.8431200000000001
696,-0.8204299999999999
697,-0.8204299999999999
698,-0.8658
699,-0.8431200000000001
700,-0.8261
701,-0.80909
702,-0.8261
703,-0.85446
704,-0.86013
705,-0.86013
706,-0.8658
707,-0.8487899999999999
708,-0.83745
709,-0.8261
710,-0.8204299999999999
711,-0.81476
712,-0.80909
713,-0.80909
714,-0.8317700000000001
715,-0.83745
716,-0.80342
717,-0.80342
718,-0.79775
719,-0.79775
720,-0.80342
721,-0.80342
722,-0.79775
723,-0.7750600000000001
724,-0.78073
725,-0.78073
726,-0.7864
727,-0.76372
728,-0.78073
729,-0.78073
730,-0.7750600000000001
731,-0.80909
732,-0.81476
733,-0.80342
734,-0.85446
735,-0.86013
736,-0.92252
737,-0.9452
738,-0.93953
739,-0.92252
740,-0.91117
741,-0.8998299999999999
742,-0.88282
743,-0.8431200000000001
744,-0.7750600000000001
745,-0.70133
746,-0.62761
747,-0.5311899999999999
748,-0.50284
749,-0.4915
750,-0.48015
751,-0.56522
752,-0.55955
753,-0.4518
754,-0.28733000000000003
755,0.12101
756,0.17205
757,0.21175
758,0.25712
759,0.30249000000000004
760,0.36487
761,0.36487
762,0.38756
763,0.44994
764,0.58038
765,0.58606
766,0.6768
767,0.76754
768,0.84126
769,0.91499
770,0.90932
771,0.8979799999999999
772,0.89231
773,0.96036
774,1.0001
775,1.0965
776,1.1872
777,1.2156
778,1.3403
779,1.346
780,1.4141
781,1.4765
782,1.5559
783,1.5332
784,1.4935
785,1.4594
786,1.4197
787,1.38
788,1.346
789,1.3574
