,fpr_micro,tpr_micro,fpr_macro,tpr_macro
0,0.0,0.0,0.0,0.35555555555555557
1,0.0,0.015625,0.022727272727272728,0.4055555555555556
2,0.0,0.15625,0.045454545454545456,0.4222222222222222
3,0.015625,0.15625,0.05,0.46388888888888885
4,0.015625,0.203125,0.06818181818181818,0.513888888888889
5,0.0234375,0.203125,0.075,0.5833333333333334
6,0.0234375,0.28125,0.09090909090909091,0.6166666666666666
7,0.03125,0.28125,0.13636363636363635,0.6666666666666666
8,0.03125,0.34375,0.15,0.6805555555555555
9,0.0390625,0.34375,0.1590909090909091,0.7472222222222222
10,0.0390625,0.375,0.175,0.7611111111111111
11,0.046875,0.375,0.18181818181818182,0.7944444444444444
12,0.046875,0.421875,0.2,0.8083333333333332
13,0.0546875,0.421875,0.22727272727272727,0.8250000000000001
14,0.0546875,0.4375,0.25,0.8527777777777779
15,0.0625,0.4375,0.3181818181818182,0.8861111111111111
16,0.0625,0.453125,0.4,0.9
17,0.0703125,0.453125,0.45454545454545453,0.9166666666666666
18,0.0703125,0.5,0.4772727272727273,0.9333333333333332
19,0.078125,0.5,0.5,0.9500000000000001
20,0.078125,0.515625,0.5454545454545454,0.9666666666666667
21,0.0859375,0.515625,0.6136363636363636,0.9833333333333334
22,0.0859375,0.53125,0.75,1.0
23,0.109375,0.53125,1.0,1.0
24,0.109375,0.609375,,
25,0.140625,0.609375,,
26,0.140625,0.625,,
27,0.15625,0.625,,
28,0.15625,0.640625,,
29,0.1640625,0.640625,,
30,0.1640625,0.65625,,
31,0.2109375,0.65625,,
32,0.2109375,0.703125,,
33,0.21875,0.703125,,
34,0.21875,0.71875,,
35,0.2421875,0.71875,,
36,0.2421875,0.734375,,
37,0.25,0.734375,,
38,0.25,0.75,,
39,0.2890625,0.75,,
40,0.2890625,0.796875,,
41,0.296875,0.796875,,
42,0.296875,0.84375,,
43,0.3046875,0.84375,,
44,0.3046875,0.859375,,
45,0.3125,0.859375,,
46,0.3125,0.875,,
47,0.3203125,0.875,,
48,0.3203125,0.890625,,
49,0.375,0.890625,,
50,0.375,0.90625,,
51,0.3828125,0.90625,,
52,0.3828125,0.9375,,
53,0.421875,0.9375,,
54,0.421875,0.953125,,
55,0.6640625,0.953125,,
56,0.6640625,0.96875,,
57,0.75,0.96875,,
58,0.75,0.984375,,
59,0.890625,0.984375,,
60,0.890625,1.0,,
61,1.0,1.0,,
